"guid","LS_0","LS_1","LS_2","DS_0","DS_1","DS_2","DS_3","haz_expose"
"3e1ed58c-f227-4eeb-9ddc-2dbc6a2fecb2","0.3413656583","0.0004158176","4.3733e-06","0.6586343417","0.3409498407","0.0004114443","0.0000043733","yes"
"d701f479-6316-4143-a27e-bcbdc43305a0","0.2192940283","0.000140596","3.6061e-06","0.7807059717","0.2191534323","0.0001369899","0.0000036061","yes"
"b1ad2e30-a2e1-470f-9fb9-00a0efb9f5cd","0.8858713234","0.0031213012","3.6266e-06","0.1141286766","0.8827500222","0.0031176746","0.0000036266","yes"
"233c9739-bdfc-40d2-850c-f1e4e8aa76ea","0.0869636275","0.0008764923","3.89037e-05","0.9130363725","0.0860871352","0.0008375886","0.0000389037","yes"
"d5583d86-3ea3-490b-adc1-f5a819954bea","0.0722067674","0.0002343855","1.29163e-05","0.9277932326","0.0719723819","0.0002214692","0.0000129163","yes"
"a65b8ddf-5e76-42c9-ad36-e760f0392fde","0.8565499318","0.0108478727","0.0006942194","0.1434500682","0.8457020591","0.0101536533","0.0006942194","yes"
"9656548c-bc65-4e2e-a6fb-b6f96883e060","0.8565499318","0.0108478727","0.0006942194","0.1434500682","0.8457020591","0.0101536533","0.0006942194","yes"
"4180a765-c371-4ff2-b28a-05a3d590fce6","0.7935841779","0.0173881797","0.0006040046","0.2064158221","0.7761959982","0.0167841751","0.0006040046","yes"
"177a50b2-7d0b-466d-b15f-90603b533d05","0.6909224229","0.0027657693","8.22688e-05","0.3090775771","0.6881566536","0.0026835005","0.0000822688","yes"
"fd0342ab-6335-473f-a2c5-d12fbc64d840","0.9744396358","0.1681165531","0.0204761334","0.0255603642","0.8063230827","0.1476404197","0.0204761334","yes"
"f11f37f6-948e-47ca-8a24-1cd907004fa6","0.9828318257","0.276023039","0.0453061334","0.0171681743","0.7068087867","0.2307169056","0.0453061334","yes"
"3c4f879c-d11c-4f81-a88d-c57ffd586f00","0.3965797908","0.0010074997","8.6671e-06","0.6034202092","0.3955722911","0.0009988326","0.0000086671","yes"
"5a1d1f8d-8bf7-4266-a811-b933534bfae4","0.9001448838","0.0150283086","3.17036e-05","0.0998551162","0.8851165752","0.0149966050","0.0000317036","yes"
"3e0284a8-3860-4c1e-8576-531b6e2eb93a","0.9166761803","0.024809291","7.56673e-05","0.0833238197","0.8918668893","0.0247336237","0.0000756673","yes"
"67ac8c31-49ff-4cb1-82c2-858048c5fa89","0.9958584281","0.268238264","0.0269666812","0.0041415719","0.7276201641","0.2412715828","0.0269666812","yes"
"e896c8ce-7bd9-481c-af31-731b53a3d4b6","0.9967564249","0.1196582425","0.0207585847","0.0032435751","0.8770981824","0.0988996578","0.0207585847","yes"
"7b326f03-8481-4f22-9823-1ed91189c163","0.994899352","0.0691864816","0.0109799554","0.005100648","0.9257128704","0.0582065262","0.0109799554","yes"
"5b62d6ee-2d32-46ac-b5dc-2241c123a77b","0.0","0.0","0.0","1.0","0.0","0.0","0.0","partial"
"ec23ea4e-20c1-4ebc-b4ba-d9d41e5152c1","0.8050195417","0.0004350049","4.49069e-05","0.1949804583","0.8045845368","0.0003900980","0.0000449069","yes"
"388284c6-605a-43ab-b984-b0e811d8d00c","0.8050195417","0.0004350049","4.49069e-05","0.1949804583","0.8045845368","0.0003900980","0.0000449069","yes"
"f78f2e6d-ec41-419d-aa0b-cc94f4133057","0.0","0.0","0.0","1.0","0.0","0.0","0.0","no"
"d5806eae-d011-476e-afde-20645b51ad8c","0.0","0.0","0.0","1.0","0.0","0.0","0.0","no"
"44bed902-b36b-430b-91f7-298f3c02fdcc","0.0","0.0","0.0","1.0","0.0","0.0","0.0","partial"
