"guid","sample_damage_states"
"4a78c129-d772-4bc4-bd1e-026a6498dbf9","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"d24418b6-9d5a-42b4-8a90-b6f7c1fd7fa8","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"bd2161f9-e282-4dc4-b33c-cdf1410ea39f","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"d5654479-36d7-4aa1-bc7a-0bf31f84d030","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"f8e627f9-8c06-45c5-8aac-0710ef1ec66e","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"05e04df6-f281-4714-a36a-bd1d84c65cc0","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"77053a74-efe8-4506-8bd0-797bf8888e7b","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"73a6a7bf-d147-4141-88bf-6c932f51e4e9","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"be6aa704-9ef8-46bf-8355-a9d67b64ba0c","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"72bf7e85-e95b-4c3e-bd1d-b84f1cfe0429","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"c78bb815-7352-423f-bf35-af4f85d1b3c0","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"ebe96f1b-04c6-47e0-be96-10d74ec0b96b","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"c88818ad-fdd1-495d-8ec2-33537ec2820f","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"dfe0074c-8cb5-48c2-8b9d-6dfb83263870","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"319c18f2-0e62-4b00-afaf-28dbe85c750b","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"0ddfe0f5-c0d4-4a55-b7c3-0bd5e24e2a7c","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"3f27e611-a783-4344-a7aa-5753cdbc49ce","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"0f74a9a1-622e-4d0a-a754-e6cb1a860b05","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"d9d81813-f7ef-4674-ab27-d61a82d7f412","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"474f1201-157d-4c8a-a39b-e17a084cd972","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"3fe23cd1-7bc4-4fc7-92bf-8633c997f5c6","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"4b87ae65-43d2-4a33-8b6d-42121054a3ce","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"ee946ab6-9d96-4eb3-b7c8-7c6de8107ce9","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"63eca645-47fe-43aa-8ba5-d44af04f1807","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"c9f51e34-f3ae-41da-9e09-a47d251da5f6","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"397eb0a1-7610-48e1-9453-f04686bd81aa","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"e328ead1-5986-4341-90af-292f383f9296","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"95bf8374-507d-42cd-9f45-bd16b02a8819","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"92665c98-cab6-401b-9c07-b232e409e7d5","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"da68e00f-25ba-42c9-8f91-cf06cc039a91","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"0374b917-47cc-4480-9fe4-757722a8c617","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"9eaf926e-cdbe-45a6-b10f-4ff6c67201b6","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"e7951327-659a-49d9-adf0-97ed7bb1ec82","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"c9a71567-25a4-49a3-bea6-77add64bf8b1","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"4534ec20-5ce7-4deb-9e35-44c2ebdcee85","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"7355b818-ba2e-4b57-8e56-411b132edf87","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"97c533fd-a8bb-47c0-bb51-3b9538ccb91e","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"5177c462-afec-48b0-90c7-6c923dfbd73a","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"98fa7ae6-dd64-4d97-879b-406d9a7021d4","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"08da6363-758b-41f3-93d2-f1bdb515f276","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"7e457584-7e07-41e8-8092-6c0b3ad6ff19","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"9a6d5c19-b10b-4855-ac33-e9dc2e0023de","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"b7af9711-8d26-48a6-8933-fbff5a4ac4ff","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"7d0f5c4a-ca60-447e-8df7-d1d23ed0b69e","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"2da4c8e6-83ce-4dc1-b9ec-12a9477872e3","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"a1c1a5e3-6c54-48f2-95fe-301d5d30aff9","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"7b829b46-1f37-40ec-ad9f-ae08173bc671","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"74b31cfa-6874-4de6-a030-489b5522ff46","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"beb0d0b3-567b-473f-8e47-cee5887e1044","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"a6568cf4-fcf2-4f00-a4d2-ff4e16cec1bf","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"d4785818-879e-4536-bf7c-d0df32864f3a","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"8a78fd45-1a3c-436f-a46b-299f606b7227","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"a6c46812-685d-41d6-ab1c-721cf6fcfac1","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"fa110e53-90cb-449c-808a-89f7a68c3510","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"0bd62fa3-02fc-437f-83a2-3f210c754b46","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"1f027516-07da-4ae7-8a77-b471213dc769","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"d213ebd7-122c-44b8-9b98-a0d921d073d1","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"f460449f-e0b9-4f64-9b6f-f8e8ac075f01","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"88f815eb-7d86-4c3f-8c33-e6f5fe903edf","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"7f4abdfb-7007-453c-a2bf-47193449af29","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"30f501f9-5e67-4d76-aa5b-949d1c281283","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
