building_guid,probability
33251b26-4cd9-431f-915d-df71a17c70b4,1.0
e89d271f-e9b0-4599-ad65-99f8f285e2fc,0.0
a644257e-aceb-4dc2-90ff-f44af089a3a0,0.9
ce9a82e9-f0b7-4ace-8feb-a85c3b45e661,0.0
0df038af-768d-4244-b342-d36583e39c2d,0.0
b5dd25eb-da54-4dd6-99d4-4b7bf5dee330,0.0
fb0ec60c-4e69-4d51-8416-51efbfdcaac3,0.8
a8f2bbe0-eff7-4b67-b23c-fde7efbe2f76,0.0
81ee5ba9-b537-4781-aac7-6e44102bf6fd,0.1
b99cd398-e269-4e54-8932-10ddf2cd65d4,0.0
1f7dbd85-1b5e-4a88-afe9-3ff723791ad6,0.1
5697ddc8-be4b-45c8-87f1-300928908dc9,0.0
5bf2a907-21ca-4c68-9ecf-d1226264a927,0.0
54cdc59d-1bd8-4de0-9351-9c8917ff5512,0.0
a73e81e3-5390-416c-93c6-3098da11dd50,0.8
1cbceab4-6144-4602-9ba9-9ead5f08e992,0.8
98471be9-d3ac-40f6-8cd6-56d994e7a3de,0.1
036feca9-2cb1-4844-8bf8-36942fb59261,0.0
09f6c122-fc31-402a-b26e-a3c3098d8908,0.0
0f9042df-1fa1-4bc9-9cd4-f14534b97039,0.0
c5d87aaa-a2bc-4a8d-a4da-8d852a95cd98,1.0
431ce2bb-768c-48b6-abec-cbda9f3e9cfe,0.9
65fc43b9-3ac7-4a02-93b5-a4d2591e3480,1.0
89e0d86c-94ae-4de8-b695-87a965a90eeb,0.8
23900f44-469c-4600-a6fa-f065454ac2bd,1.0
99562403-c556-42db-b096-e6ef5522c8fe,0.9
cae465a0-8d36-4eaa-9bda-886067841864,0.0
bff4bfce-8b10-4665-aa65-a7929aaeaaf9,1.0
0071c082-ed85-4352-bdf9-d84112e84a71,0.9
128de776-940a-4f5f-b50c-38e93557d368,0.0
bbf73786-8336-485f-a7a1-4f087ca5b969,0.0
4b4d724d-f68e-462d-8554-197b1820853c,1.0
30581b7a-7f95-4197-8525-52f8b3a918d3,0.1
3e1ed58c-f227-4eeb-9ddc-2dbc6a2fecb2,0.0
d701f479-6316-4143-a27e-bcbdc43305a0,0.7
b1ad2e30-a2e1-470f-9fb9-00a0efb9f5cd,0.0
233c9739-bdfc-40d2-850c-f1e4e8aa76ea,0.9
d5583d86-3ea3-490b-adc1-f5a819954bea,0.7
b66291a9-ac33-4ec1-8684-30c4fd2bb36f,1.0
a65b8ddf-5e76-42c9-ad36-e760f0392fde,0.1
9656548c-bc65-4e2e-a6fb-b6f96883e060,0.0
4180a765-c371-4ff2-b28a-05a3d590fce6,0.0
177a50b2-7d0b-466d-b15f-90603b533d05,0.1
fd0342ab-6335-473f-a2c5-d12fbc64d840,0.0
f11f37f6-948e-47ca-8a24-1cd907004fa6,0.0
3c4f879c-d11c-4f81-a88d-c57ffd586f00,0.0
5a1d1f8d-8bf7-4266-a811-b933534bfae4,0.0
5a98b9e5-f90c-420d-8fc1-9ac7ed67abdd,0.0
3e0284a8-3860-4c1e-8576-531b6e2eb93a,0.0
e7fe3c6d-0f7f-46f4-a03e-5f51ce55fb8a,0.9
a5c879e9-d5b6-4b43-a605-57c0d65c4839,1.0
67ac8c31-49ff-4cb1-82c2-858048c5fa89,0.0
e896c8ce-7bd9-481c-af31-731b53a3d4b6,0.0
7b326f03-8481-4f22-9823-1ed91189c163,0.0
5b62d6ee-2d32-46ac-b5dc-2241c123a77b,1.0
ec23ea4e-20c1-4ebc-b4ba-d9d41e5152c1,0.1
388284c6-605a-43ab-b984-b0e811d8d00c,0.4
7f696096-8e07-4546-9eef-96760ce427bf,1.0
f78f2e6d-ec41-419d-aa0b-cc94f4133057,1.0
