guid,LS_0,LS_1,LS_2,DS_0,DS_1,DS_2,DS_3,haz_expose
9af417c2-f1fd-4ef1-9ef8-f4dde62b246c,0.9250757787,0.0056265752,8.496e-06,0.0749242213,0.9194492035,0.0056180792,8.496e-06,yes
32e17af6-2349-41e1-a69c-45fbe2b0563b,6e-10,0.0,0.0,0.9999999994,6e-10,0.0,0.0,yes
0fdb482d-761e-4aba-a37a-8e4a87ac841a,0.0,0.0,7e-10,0.9999999993,0.0,0.0,7e-10,yes
c3a296a6-0a3f-4c0f-a9f5-a582d1426911,0.9946150564,0.6330077293,0.0951505653,0.0053849436,0.3616073271,0.537857164,0.0951505653,yes
87886606-1cf0-436a-a4c0-790cb18e6bb4,0.8713127006,0.0010897607,9.657e-07,0.1286872994,0.8702229399,0.001088795,9.657e-07,yes
2a740917-51ae-4c68-b38d-1950adab401c,0.8591622572,0.0009028473,7.287e-07,0.1408377428,0.8582594099,0.0009021186,7.287e-07,yes
5d54be8a-b352-437c-961d-829f4cc3c66a,0.848609002,0.0007669025,5.7e-07,0.151390998,0.8478420995,0.0007663325,5.7e-07,yes
66cb003a-d2fb-4834-ba96-271e85bf1cb6,4.5196e-06,0.0,8.5e-09,0.9999954804,4.5111e-06,0.0,8.5e-09,yes
9ce2bc17-5f08-4d5f-a42b-bd96cd78912c,0.0,0.0,0.0,1.0,0.0,0.0,0.0,yes
55017c14-4a92-4506-9de3-1d33ea6c384c,4.1e-09,0.0,0.0,0.9999999959,4.1e-09,0.0,0.0,yes
012f2cd0-9421-49d3-8e5c-c1a6be2ad7dd,1e-10,0.0,0.0,0.9999999999,1e-10,0.0,0.0,yes
8b514323-d99a-4528-ae82-df8d910152d6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
e88563e0-d1e0-4846-a9fb-9f122784fa9d,9.0039e-06,0.0,0.0,0.9999909961,9.0039e-06,0.0,0.0,yes
3f68dee3-4132-4d6a-a53c-4989499ae63c,2.3306e-06,0.0,0.0,0.9999976694,2.3306e-06,0.0,0.0,yes
52583662-fc9a-4f46-a77b-ab812d4fedb8,5.38259e-05,0.0,0.0,0.9999461741,5.38259e-05,0.0,0.0,yes
8b1b6037-2a52-4b04-9ca7-0bfb4f7a552f,0.0051115359,1e-10,1.01861e-05,0.9948884641,0.0051013498,0.0,1.01861e-05,yes
af410a89-e149-4219-b74b-3c3e335b02e7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,partial
8da0f4e6-0fdd-4f92-832a-39dc3f7f3c93,0.0007136364,0.0,0.0,0.9992863636,0.0007136364,0.0,0.0,yes
a5dc591d-7e29-49d5-b83c-c9ad9cb762fc,0.9216616943,0.0029286576,4.2416e-06,0.0783383057,0.9187330367,0.002924416,4.2416e-06,yes
7ac99373-4956-4b18-918c-45b1b6961b5c,0.0,0.0,0.0,1.0,0.0,0.0,0.0,yes
b7394938-7800-4618-a7b0-de0abc95d6da,0.0,0.0,0.0,1.0,0.0,0.0,0.0,yes
d85823e9-4af0-4a65-aa09-ba9923a3a411,0.8855425889,0.0019900473,1.8725e-06,0.1144574111,0.8835525416,0.0019881748,1.8725e-06,yes
fce86173-ff5a-47cd-a28b-f0c50ce2dc25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,yes
faff53dc-b80a-4465-84c8-3131a22903bb,9.339e-07,0.0,0.0,0.9999990661,9.339e-07,0.0,0.0,yes
1bf3562e-0935-4a71-905e-bb4981b08ae9,9.339e-07,0.0,0.0,0.9999990661,9.339e-07,0.0,0.0,yes
d7a941dc-a495-4713-a136-585dcddab451,0.009234794,0.0,0.0,0.990765206,0.009234794,0.0,0.0,yes
f082cf66-a302-4a31-bfbf-a761b1034792,0.9690748375,0.2027670296,0.0011148002,0.0309251625,0.7663078079,0.2016522294,0.0011148002,yes
acfbefba-9cc4-4aca-8da8-be27ec057317,6e-10,0.0,0.0,0.9999999994,6e-10,0.0,0.0,yes
075015a7-9d76-43bc-803f-bcc5e0603ac3,0.9949063036,0.4902439644,0.1341706316,0.0050936964,0.5046623392,0.3560733328,0.1341706316,yes
fbbefeaa-de4e-4061-bd03-fa81f401af45,5.33541e-05,0.0,0.0,0.9999466459,5.33541e-05,0.0,0.0,yes
2d4cd4b8-5483-45d8-b0a7-d8bf5062e25d,0.9804761375,0.3103433639,0.0053073918,0.0195238625,0.6701327736,0.3050359721,0.0053073918,yes
60955849-54c4-401d-b5ae-03c6adaa2207,0.687775228,0.0020583931,1.4527e-06,0.312224772,0.6857168349,0.0020569404,1.4527e-06,yes
4512ba4e-8ce9-443d-afab-cc66b0f9b952,0.0006779059,0.0,0.0,0.9993220941,0.0006779059,0.0,0.0,yes
