guid,retrofit_key,retrofit_value
4b02d06d-4321-4fc2-8d79-fa08c57eb7a1,Wood or Metal Deck Diaphragms Retrofitted,
45f4e1f1-6b96-4345-a56e-0899fc6a6b34,Wood or Metal Deck Diaphragms Retrofitted,
f090b801-10d8-4183-ac01-159f2de30250,Wood or Metal Deck Diaphragms Retrofitted,
265d0ac5-818b-4fa6-ae28-665117f0fc80,Wood or Metal Deck Diaphragms Retrofitted,
fad35c54-0fed-4c45-85f2-a2ed8126663a,Wood or Metal Deck Diaphragms Retrofitted,
f51aa669-6a88-4fb3-9aa7-f1b5a7a1bc4a,Wood or Metal Deck Diaphragms Retrofitted,
c43a358b-d613-4265-b0c3-afaefa048ba8,Wood or Metal Deck Diaphragms Retrofitted,
37630bc2-4344-4e90-bec4-c2946cb363cc,Wood or Metal Deck Diaphragms Retrofitted,
c9a9f97f-3c53-4eaf-8691-2a0be7b6ae43,Wood or Metal Deck Diaphragms Retrofitted,
c9e7690e-c1c5-4f78-9621-215359382b71,Wood or Metal Deck Diaphragms Retrofitted,
c3e3a67e-5a74-4fb2-9d6d-1e5a4e518556,Wood or Metal Deck Diaphragms Retrofitted,
48018f7e-d8aa-4513-b564-67bc5e507b02,Wood or Metal Deck Diaphragms Retrofitted,
a1725046-e67d-47de-98db-30047df18d2e,Wood or Metal Deck Diaphragms Retrofitted,
9070588c-afce-42bc-aef5-c62017e00678,Wood or Metal Deck Diaphragms Retrofitted,
5cc991c4-8509-4934-8ef3-5955d4e50102,Wood or Metal Deck Diaphragms Retrofitted,
741f0571-e71d-4d2f-a893-bf8acb441a81,Wood or Metal Deck Diaphragms Retrofitted,
2207ef06-7f66-457e-a187-5735d27310cf,Wood or Metal Deck Diaphragms Retrofitted,
3ccaedf0-976b-499d-a116-58d433d8e56b,Wood or Metal Deck Diaphragms Retrofitted,
62ae94f2-0609-419f-a080-be7429157fe5,Wood or Metal Deck Diaphragms Retrofitted,
6abfed60-15f8-4ed8-86be-07a786633742,Wood or Metal Deck Diaphragms Retrofitted,
4afba370-0ef5-45bd-bf75-592daabcc4b8,Wood or Metal Deck Diaphragms Retrofitted,
2886dba2-6058-41c4-b356-0d48956b21fd,Wood or Metal Deck Diaphragms Retrofitted,
1b5a162c-3a82-4e00-9035-c5aefb25f399,Wood or Metal Deck Diaphragms Retrofitted,
af073558-851e-49b6-b085-7f273f08a147,Wood or Metal Deck Diaphragms Retrofitted,
8572917c-eaf9-4023-996d-621db0252321,Wood or Metal Deck Diaphragms Retrofitted,
55b79890-82c9-425a-a7d0-f49766bf6f5b,Wood or Metal Deck Diaphragms Retrofitted,
8ffd7da7-6177-4def-8a46-2d4d066eef75,Wood or Metal Deck Diaphragms Retrofitted,
a4b19361-d886-4c74-acbe-7927eb476133,Wood or Metal Deck Diaphragms Retrofitted,
319edffe-dfa0-49fe-958c-6b4afcffc84f,Wood or Metal Deck Diaphragms Retrofitted,
0c0517ba-57f9-4b5c-bbee-4ce6740b5cee,Wood or Metal Deck Diaphragms Retrofitted,
963483f6-1d38-4c0c-a77b-8ee4658e0e45,Wood or Metal Deck Diaphragms Retrofitted,
d3445d70-abc9-4f04-82c9-a09cabc0e2d5,Wood or Metal Deck Diaphragms Retrofitted,
db90fb27-e9fc-48ce-8fcf-02e23a0f28d2,Wood or Metal Deck Diaphragms Retrofitted,
d5991e2c-2c64-4d99-975b-761a644af79a,Wood or Metal Deck Diaphragms Retrofitted,
9e8c5bba-f15d-41a7-9dae-f6682e35ad01,Wood or Metal Deck Diaphragms Retrofitted,
a72e7283-5cea-48f9-8a03-ac20e1e6b2db,Wood or Metal Deck Diaphragms Retrofitted,
2c887dd2-0f79-4a3f-8ebb-3dba79c06acf,Wood or Metal Deck Diaphragms Retrofitted,
2be9e82a-4049-4659-9b88-7015a9271d1d,Wood or Metal Deck Diaphragms Retrofitted,
38b3ee10-0408-4a9d-9825-0f3892a21ed8,Wood or Metal Deck Diaphragms Retrofitted,
7657efb2-b175-41de-b6e8-0b2febc8798c,Wood or Metal Deck Diaphragms Retrofitted,
cf4c73f9-f0f0-4483-89e9-2316d6101b50,Wood or Metal Deck Diaphragms Retrofitted,
f8e6c0be-9b93-4b3a-b79b-e879a5de6657,Wood or Metal Deck Diaphragms Retrofitted,
bfa8ed01-47e9-4f12-aa3f-0896c2892786,Wood or Metal Deck Diaphragms Retrofitted,
f651efe1-b8cc-4e42-b46e-aa370c4b8001,Wood or Metal Deck Diaphragms Retrofitted,
c4188af9-abaf-45ac-bef3-786b1f519e5b,Wood or Metal Deck Diaphragms Retrofitted,
1af996c0-5a0d-47ba-baea-724a850edcb9,Wood or Metal Deck Diaphragms Retrofitted,
a4cf6804-1220-4411-b027-9054b8f9153a,Wood or Metal Deck Diaphragms Retrofitted,
e72272a3-d357-4a5a-bf07-6becfc81a2b5,Wood or Metal Deck Diaphragms Retrofitted,
b70c7d00-4013-4e13-b84d-0ec5c18014e3,Wood or Metal Deck Diaphragms Retrofitted,
64461a05-4411-4e68-a4dd-868c114cdc08,Wood or Metal Deck Diaphragms Retrofitted,
22895512-48d8-4668-8985-b1f5fc7f5a51,Wood or Metal Deck Diaphragms Retrofitted,
811671aa-184e-4d36-addb-3b156b09cd7b,Wood or Metal Deck Diaphragms Retrofitted,
